TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
106999,True,1.074784,1.110775,1.1489,1.139816
107999,False,3.100619,6.9e-05,0.0,0.0
107999,True,1.074853,1.110844,1.148693,1.139885
108999,False,0.0,6.9e-05,0.0,0.0
108999,True,1.07499,1.110706,1.148487,1.139954
109999,False,0.284834,6.9e-05,0.0,0.0
109999,True,1.074853,1.110775,1.148418,1.139678
110999,False,0.744806,6.9e-05,0.0,0.0
110999,True,1.074853,1.110706,1.148556,1.139885
111999,False,0.845623,6.9e-05,0.0,0.0
111999,True,1.074715,1.110706,1.148556,1.140022
112999,False,1.200719,6.9e-05,0.0,0.0
112999,True,1.074853,1.110775,1.148693,1.139747
113999,False,1.418662,6.9e-05,0.0,0.0
113999,True,1.075197,1.110775,1.148693,1.139678
114999,False,1.714438,6.9e-05,0.0,0.0
114999,True,1.074715,1.110844,1.148349,1.139816
115999,False,1.973327,6.9e-05,0.0,0.0
115999,True,1.074922,1.110706,1.148831,1.139885
116999,False,2.305989,6.9e-05,0.0,0.0
116999,True,1.074784,1.110706,1.148693,1.139747
117999,False,2.53687,6.9e-05,0.0,0.0
117999,True,1.07499,1.110569,1.148762,1.139885
118999,False,2.819088,6.9e-05,0.0,0.0
118999,True,1.074922,1.110569,1.148762,1.139678
119999,False,3.100619,6.9e-05,0.0,0.0
119999,True,1.074922,1.110706,1.148625,1.139885
120999,False,0.0,6.9e-05,0.0,0.0
120999,True,1.074853,1.110775,1.148693,1.139954
121999,False,0.284765,6.9e-05,0.0,0.0
121999,True,1.074784,1.110913,1.148556,1.139747
122999,False,0.744806,6.9e-05,0.0,0.0
122999,True,1.07499,1.110638,1.148487,1.139816
123999,False,0.845623,6.9e-05,0.0,0.0
123999,True,1.074784,1.110706,1.148487,1.139747
124999,False,1.201201,6.9e-05,0.0,0.0
124999,True,1.07499,1.110706,1.148625,1.139954
125999,False,1.418731,6.9e-05,0.0,0.0
125999,True,1.074922,1.110569,1.148487,1.139816
126999,False,1.714438,6.9e-05,0.0,0.0
126999,True,1.074922,1.1105,1.148625,1.139885
127999,False,1.973327,6.9e-05,0.0,0.0
127999,True,1.074922,1.1105,1.148625,1.139885
128999,False,2.30592,6.9e-05,0.0,0.0
128999,True,1.074784,1.110638,1.148625,1.139747
129999,False,2.53687,6.9e-05,0.0,0.0
129999,True,1.074577,1.110638,1.148693,1.139747
130999,False,2.819157,6.9e-05,0.0,0.0
130999,True,1.07499,1.110638,1.148556,1.139816
131344,False,4.291084,6.9e-05,0.0,0.0
131999,True,1.074853,1.110706,1.148418,1.13961
132344,False,3.100619,6.9e-05,0.0,0.0
132999,True,1.074853,1.110569,1.148487,1.139334
133344,False,0.0,6.9e-05,0.0,0.0
133999,True,1.074646,1.110638,1.148556,1.139472
134344,False,0.284902,6.9e-05,0.0,0.0
134999,True,1.074922,1.1105,1.148418,1.13961
135344,False,0.744806,6.9e-05,0.0,0.0
135999,True,1.074715,1.110431,1.148418,1.13961
136344,False,0.845623,6.9e-05,0.0,0.0
136999,True,1.075059,1.110569,1.148556,1.13961
137344,False,1.200857,6.9e-05,0.0,0.0
137999,True,1.074922,1.1105,1.148556,1.139472
138344,False,1.457062,6.9e-05,0.0,0.0
138999,True,1.074784,1.110638,1.148487,1.139541
139344,False,1.7143,6.9e-05,0.0,0.0
139999,True,1.074853,1.110706,1.148487,1.139747
140344,False,2.035676,6.9e-05,0.0,0.0
140999,True,1.074784,1.110638,1.148487,1.139747
141344,False,2.309499,6.9e-05,0.0,0.0
141999,True,1.074715,1.110706,1.148487,1.139678
142169,False,4.333062,6.9e-05,0.0,0.0
142999,True,1.074715,1.1105,1.148556,1.139885
143169,False,2.53687,6.9e-05,0.0,0.0
143999,True,1.074784,1.110431,1.148487,1.13961
144169,False,2.819295,6.9e-05,0.0,0.0
144999,True,1.074646,1.110293,1.148625,1.139678
145169,False,3.100619,6.9e-05,0.0,0.0
145999,True,1.074715,1.110431,1.148556,1.139678
146169,False,0.0,6.9e-05,0.0,0.0
146999,True,1.074784,1.110569,1.148487,1.139403
147169,False,0.284765,6.9e-05,0.0,0.0
147999,True,1.074853,1.110569,1.148487,1.139541
148169,False,0.744875,6.9e-05,0.0,0.0
148999,True,1.074646,1.110362,1.148556,1.139403
149169,False,0.845623,6.9e-05,0.0,0.0
149999,True,1.074853,1.110362,1.148074,1.139403
150169,False,1.200719,6.9e-05,0.0,0.0
150999,True,1.074646,1.110293,1.148556,1.139403
151169,False,1.486172,6.9e-05,0.0,0.0
151999,True,1.074784,1.110431,1.148349,1.139265
152169,False,1.7143,6.9e-05,0.0,0.0
152999,True,1.074784,1.1105,1.148418,1.139403
153169,False,2.077241,6.9e-05,0.0,0.0
153999,True,1.074715,1.110293,1.14828,1.139403
154169,False,2.311907,6.9e-05,0.0,0.0
154999,True,1.074784,1.110362,1.148418,1.139472
155169,False,2.53687,6.9e-05,0.0,0.0
155999,True,1.074784,1.110431,1.148349,1.139541
156169,False,2.819295,6.9e-05,0.0,0.0
156999,True,1.074509,1.110293,1.148625,1.139334
157169,False,3.100619,6.9e-05,0.0,0.0
157999,True,1.074715,1.110569,1.148143,1.139816
158169,False,0.0,6.9e-05,0.0,0.0
158999,True,1.074784,1.1105,1.148349,1.139678
159169,False,0.284902,6.9e-05,0.0,0.0
159999,True,1.074784,1.110431,1.148487,1.139678
160169,False,0.744875,6.9e-05,0.0,0.0
160999,True,1.074853,1.110362,1.148349,1.139541
161169,False,0.845623,6.9e-05,0.0,0.0
161999,True,1.074715,1.110362,1.148556,1.139541
162169,False,1.200994,6.9e-05,0.0,0.0
162999,True,1.074784,1.110362,1.148418,1.139197
163169,False,1.486241,6.9e-05,0.0,0.0
163999,True,1.074853,1.110293,1.148556,1.139403
164169,False,1.7143,6.9e-05,0.0,0.0
164999,True,1.074715,1.110569,1.148349,1.139334
165169,False,2.077241,6.9e-05,0.0,0.0
165999,True,1.074509,1.1105,1.14828,1.139197
166169,False,2.312182,6.9e-05,0.0,0.0
166999,True,1.074784,1.1105,1.148418,1.139265
167169,False,2.53687,6.9e-05,0.0,0.0
167319,False,4.37511,0.0,0.0,0.0
167394,False,1.074784,1.110569,1.148143,1.139403
167431,False,1.668124,1.1617,1.243317,1.240633
167470,False,1.074715,1.110156,1.148143,1.139334
167999,True,1.074715,1.110431,1.148143,1.139403
168319,False,2.819364,0.000275,0.0,0.0
168999,True,1.074715,1.110431,1.148349,1.139472
169319,False,3.100619,6.9e-05,0.0,0.0
169999,True,1.074646,1.110293,1.148487,1.139472
170319,False,0.0,6.9e-05,0.0,0.0
170999,True,1.074784,1.110569,1.14828,1.139197
171173,False,1.074784,1.110362,1.148418,1.139334
171319,False,0.284834,0.000138,0.0,0.0
171654,False,1.074715,1.110362,1.148487,1.139403
171999,True,1.074715,1.1105,1.148487,1.13961
172319,False,0.744875,0.000138,0.0,0.0
172999,True,1.074715,1.110431,1.14828,1.139472
173319,False,0.845623,6.9e-05,0.0,0.0
173999,True,1.074646,1.110362,1.148212,1.139403
174319,False,1.201063,6.9e-05,0.0,0.0
174999,True,1.074577,1.110225,1.14828,1.139334
175319,False,1.515282,6.9e-05,0.0,0.0
175999,True,1.074784,1.110225,1.148349,1.139403
176295,False,1.074577,1.110225,1.148418,1.13961
