Timestamp,Channel1,Channel2,Channel3,Channel4
182999,1.0750E+0,1.1110E+0,1.1489E+0,1.1399E+0,
183999,1.0749E+0,1.1109E+0,1.1490E+0,1.1401E+0,
184999,1.0751E+0,1.1109E+0,1.1489E+0,1.1401E+0,
185999,1.0751E+0,1.1108E+0,1.1489E+0,1.1401E+0,
186565,1.0751E+0,1.1109E+0,1.1491E+0,1.1400E+0,
186999,1.0752E+0,1.1110E+0,1.1489E+0,1.1401E+0,
187999,1.0753E+0,1.1109E+0,1.1489E+0,1.1401E+0,
188363,1.0751E+0,1.1109E+0,1.1488E+0,1.1399E+0,
188999,1.0753E+0,1.1107E+0,1.1488E+0,1.1402E+0,
189999,1.0751E+0,1.1107E+0,1.1488E+0,1.1401E+0,
190999,1.0752E+0,1.1110E+0,1.1492E+0,1.1399E+0,
191999,1.0751E+0,1.1108E+0,1.1488E+0,1.1401E+0,
192994,1.6176E+0,1.2718E+0,1.2185E+0,1.1672E+0,
192999,1.0749E+0,1.1109E+0,1.1490E+0,1.1401E+0,
193025,2.6534E+0,2.6872E+0,2.9029E+0,2.6895E+0,
193122,1.0751E+0,1.1111E+0,1.1491E+0,1.1401E+0,
193146,1.0751E+0,1.1109E+0,1.1488E+0,1.1399E+0,
193185,1.0749E+0,1.1108E+0,1.1490E+0,1.1401E+0,
193268,2.5058E+0,2.4267E+0,2.3437E+0,2.3407E+0,
193314,1.0755E+0,1.1109E+0,1.1489E+0,1.1401E+0,
193340,1.6298E+0,1.1888E+0,1.1494E+0,1.1409E+0,
193342,2.2894E+0,2.1932E+0,2.1709E+0,2.1953E+0,
193344,1.0759E+0,1.1131E+0,1.1493E+0,1.1414E+0,
193399,1.0751E+0,1.1109E+0,1.1489E+0,1.1400E+0,
193445,1.0752E+0,1.1110E+0,1.1489E+0,1.1397E+0,
193467,1.0751E+0,1.1109E+0,1.1488E+0,1.1400E+0,
193551,1.0751E+0,1.1111E+0,1.1489E+0,1.1401E+0,
193578,2.1022E+0,2.0101E+0,1.9010E+0,1.9365E+0,
193713,1.0751E+0,1.1109E+0,1.1491E+0,1.1399E+0,
193750,1.2367E+0,1.1118E+0,1.1494E+0,1.1403E+0,
193758,2.1664E+0,2.1427E+0,2.0568E+0,2.0037E+0,
193764,1.6904E+0,1.3669E+0,1.1505E+0,1.1441E+0,
193766,2.4987E+0,2.4328E+0,2.3908E+0,2.3828E+0,
193811,3.0096E+0,3.0135E+0,2.9285E+0,2.8945E+0,
193828,1.0751E+0,1.1109E+0,1.1489E+0,1.1400E+0,
193888,1.1452E+0,1.1115E+0,1.1496E+0,1.1409E+0,
193950,1.6741E+0,1.2920E+0,1.1607E+0,1.2307E+0,
193999,1.0751E+0,1.1109E+0,1.1490E+0,1.1402E+0,
194093,2.3077E+0,2.2395E+0,2.1658E+0,2.1666E+0,
194155,2.3186E+0,2.2550E+0,2.2467E+0,2.2326E+0,
194227,1.1427E+0,1.1114E+0,1.1495E+0,1.1406E+0,
194227,1.3778E+0,1.1615E+0,1.2827E+0,1.2076E+0,
194244,1.2104E+0,1.1114E+0,1.1496E+0,1.1410E+0,
194258,1.0749E+0,1.1109E+0,1.1489E+0,1.1400E+0,
194284,1.9135E+0,1.7085E+0,1.5772E+0,1.6658E+0,
194305,1.0751E+0,1.1109E+0,1.1491E+0,1.1400E+0,
194512,2.6842E+0,2.6202E+0,2.6873E+0,2.7014E+0,
194602,1.0751E+0,1.1111E+0,1.1489E+0,1.1399E+0,
194614,1.7724E+0,1.4806E+0,1.1764E+0,1.2184E+0,
194668,1.3963E+0,1.1122E+0,1.1492E+0,1.1401E+0,
194675,1.0751E+0,1.1109E+0,1.1489E+0,1.1401E+0,
194758,1.0752E+0,1.1109E+0,1.1489E+0,1.1399E+0,
194995,1.0751E+0,1.1109E+0,1.1488E+0,1.1401E+0,
194999,1.0751E+0,1.1108E+0,1.1488E+0,1.1400E+0,
195020,2.0016E+0,1.8211E+0,1.6237E+0,1.7470E+0,
195054,1.0751E+0,1.1110E+0,1.1489E+0,1.1401E+0,
195062,1.0751E+0,1.1108E+0,1.1487E+0,1.1400E+0,
195118,1.1108E+0,1.1113E+0,1.1488E+0,1.1400E+0,
195199,1.0750E+0,1.1110E+0,1.1489E+0,1.1400E+0,
195206,1.0759E+0,1.1109E+0,1.1490E+0,1.1401E+0,
195248,1.5327E+0,1.1157E+0,1.1494E+0,1.1407E+0,
195308,1.0751E+0,1.1109E+0,1.1489E+0,1.1401E+0,
195544,1.0755E+0,1.1108E+0,1.1489E+0,1.1401E+0,
195561,1.5523E+0,1.1157E+0,1.1496E+0,1.1410E+0,
195646,2.0210E+0,1.8526E+0,1.6636E+0,1.7850E+0,
195705,2.3484E+0,2.2990E+0,2.3252E+0,2.2894E+0,
195713,1.1055E+0,1.1118E+0,1.1492E+0,1.1401E+0,
195725,1.8492E+0,1.6495E+0,1.6028E+0,1.5962E+0,
195820,1.0753E+0,1.1109E+0,1.1489E+0,1.1400E+0,
195838,1.9537E+0,1.6676E+0,1.4596E+0,1.6630E+0,
195854,1.0754E+0,1.1109E+0,1.1488E+0,1.1402E+0,
195916,1.9446E+0,1.7978E+0,1.5365E+0,1.5898E+0,
195943,1.0752E+0,1.1110E+0,1.1489E+0,1.1401E+0,
195988,1.0751E+0,1.1109E+0,1.1489E+0,1.1401E+0,
195989,1.0972E+0,1.1156E+0,1.1597E+0,1.1458E+0,
195999,1.0751E+0,1.1108E+0,1.1489E+0,1.1400E+0,
196012,1.0753E+0,1.1108E+0,1.1489E+0,1.1400E+0,
196110,1.0752E+0,1.1109E+0,1.1487E+0,1.1400E+0,
196133,1.0751E+0,1.1109E+0,1.1489E+0,1.1400E+0,
196186,2.0448E+0,1.9307E+0,1.7956E+0,1.8564E+0,
196212,1.0751E+0,1.1110E+0,1.1488E+0,1.1401E+0,
196252,1.7106E+0,1.2303E+0,1.1885E+0,1.3010E+0,
196323,1.0751E+0,1.1108E+0,1.1490E+0,1.1399E+0,
196327,2.1645E+0,2.0550E+0,1.9162E+0,1.9482E+0,
196355,2.3317E+0,2.2688E+0,2.2870E+0,2.2787E+0,
196357,2.5944E+0,2.5308E+0,2.4874E+0,2.4805E+0,
196395,1.0753E+0,1.1109E+0,1.1490E+0,1.1401E+0,
196618,1.0756E+0,1.1110E+0,1.1489E+0,1.1401E+0,
196665,1.1034E+0,1.1115E+0,1.1490E+0,1.1402E+0,
196723,1.4129E+0,1.1361E+0,1.1495E+0,1.1403E+0,
196795,2.3121E+0,2.2658E+0,2.2394E+0,2.2070E+0,
196814,1.8571E+0,1.6644E+0,1.7473E+0,1.4302E+0,
196910,1.0753E+0,1.1111E+0,1.1489E+0,1.1401E+0,
196992,2.0859E+0,1.9172E+0,1.9372E+0,2.0070E+0,
196999,1.0752E+0,1.1111E+0,1.1490E+0,1.1400E+0,
197020,2.3773E+0,2.3080E+0,2.2549E+0,2.2419E+0,
197029,1.2519E+0,1.1120E+0,1.1490E+0,1.1402E+0,
197160,1.0760E+0,1.1113E+0,1.1489E+0,1.1400E+0,
197161,2.2518E+0,2.1779E+0,2.1246E+0,2.1619E+0,
197228,1.0751E+0,1.1110E+0,1.1492E+0,1.1401E+0,
197285,1.0752E+0,1.1109E+0,1.1488E+0,1.1401E+0,
197316,1.0752E+0,1.1109E+0,1.1489E+0,1.1400E+0,
197429,2.4808E+0,2.4262E+0,2.3243E+0,2.3059E+0,
197442,2.1757E+0,2.0585E+0,1.9172E+0,1.9530E+0,
197467,1.0755E+0,1.1110E+0,1.1489E+0,1.1400E+0,
197489,1.0787E+0,1.1112E+0,1.1489E+0,1.1400E+0,
197612,1.0753E+0,1.1109E+0,1.1489E+0,1.1401E+0,
197618,1.0751E+0,1.1109E+0,1.1490E+0,1.1400E+0,
197629,2.0880E+0,1.9497E+0,1.8170E+0,1.8845E+0,
197704,2.4562E+0,2.3787E+0,2.4212E+0,2.4197E+0,
197751,2.1539E+0,2.0006E+0,2.1766E+0,2.1265E+0,
197772,1.0752E+0,1.1110E+0,1.1488E+0,1.1401E+0,
197782,1.7136E+0,1.4162E+0,1.1496E+0,1.1409E+0,
197801,1.1042E+0,1.1113E+0,1.1491E+0,1.1403E+0,
197810,1.0753E+0,1.1109E+0,1.1489E+0,1.1399E+0,
197824,1.0754E+0,1.1109E+0,1.1490E+0,1.1399E+0,
197859,1.0755E+0,1.1109E+0,1.1489E+0,1.1401E+0,
197871,1.7885E+0,1.5325E+0,1.1562E+0,1.1463E+0,
197885,1.0751E+0,1.1107E+0,1.1487E+0,1.1399E+0,
197899,2.0077E+0,1.8482E+0,1.7255E+0,1.8176E+0,
197999,2.1503E+0,2.0867E+0,2.0947E+0,2.0126E+0,
197999,1.1923E+0,1.5839E+0,1.3022E+0,1.5478E+0,
198077,1.0766E+0,1.1111E+0,1.1490E+0,1.1403E+0,
198094,1.0751E+0,1.1109E+0,1.1488E+0,1.1400E+0,
198127,1.0751E+0,1.1110E+0,1.1487E+0,1.1400E+0,
198147,2.0517E+0,1.8936E+0,1.6647E+0,1.7692E+0,
198170,1.9600E+0,1.8124E+0,1.5275E+0,1.5742E+0,
198178,1.0758E+0,1.1109E+0,1.1487E+0,1.1403E+0,
198263,2.5067E+0,2.4040E+0,2.3278E+0,2.3269E+0,
198271,2.4645E+0,2.4175E+0,2.4449E+0,2.4154E+0,
198276,1.9755E+0,1.8472E+0,1.8025E+0,1.8257E+0,
198335,1.0758E+0,1.1110E+0,1.1487E+0,1.1401E+0,
198361,2.4152E+0,2.3943E+0,2.3527E+0,2.3006E+0,
198397,1.0753E+0,1.1109E+0,1.1487E+0,1.1400E+0,
198466,1.0753E+0,1.1108E+0,1.1489E+0,1.1401E+0,
198512,2.1734E+0,2.0613E+0,1.9818E+0,2.0289E+0,
198526,1.8456E+0,1.6372E+0,1.2026E+0,1.2229E+0,
198532,1.6530E+0,1.2675E+0,1.1498E+0,1.1417E+0,
198534,1.5014E+0,1.1131E+0,1.2027E+0,1.2276E+0,
198576,1.0752E+0,1.1108E+0,1.1488E+0,1.1401E+0,
198655,1.0751E+0,1.1110E+0,1.1489E+0,1.1401E+0,
198855,1.0751E+0,1.1107E+0,1.1491E+0,1.1400E+0,
198871,2.9352E+0,2.8988E+0,2.7515E+0,2.7447E+0,
198903,2.2843E+0,2.1608E+0,2.2201E+0,2.2197E+0,
198999,1.0752E+0,1.1109E+0,1.1489E+0,1.1399E+0,
199007,1.8592E+0,1.6573E+0,1.2184E+0,1.2279E+0,
199028,1.0751E+0,1.1108E+0,1.1489E+0,1.1401E+0,
199177,1.0753E+0,1.1109E+0,1.1489E+0,1.1401E+0,
199302,2.3422E+0,2.3246E+0,2.2715E+0,2.2123E+0,
199334,1.0942E+0,1.1112E+0,1.1489E+0,1.1402E+0,
199480,1.0753E+0,1.1109E+0,1.1489E+0,1.1402E+0,
199650,1.0760E+0,1.1110E+0,1.1489E+0,1.1401E+0,
199674,1.4671E+0,1.1149E+0,1.1494E+0,1.1406E+0,
199698,1.4123E+0,1.1140E+0,1.1496E+0,1.1410E+0,
199766,2.2678E+0,2.2074E+0,2.2038E+0,2.1813E+0,
199774,1.0752E+0,1.1109E+0,1.1489E+0,1.1401E+0,
199784,3.2904E+0,3.1952E+0,3.0955E+0,3.1494E+0,
199795,1.0762E+0,1.1110E+0,1.1487E+0,1.1401E+0,
199960,1.3415E+0,1.1288E+0,1.1496E+0,1.1407E+0,
199999,1.0752E+0,1.1109E+0,1.1487E+0,1.1401E+0,
200026,2.7080E+0,2.6606E+0,2.6257E+0,2.6167E+0,
200037,1.9479E+0,1.7288E+0,1.4680E+0,1.6384E+0,
200097,1.9016E+0,1.7554E+0,1.6937E+0,1.7517E+0,
200111,1.0753E+0,1.1109E+0,1.1489E+0,1.1399E+0,
200133,1.8551E+0,1.7647E+0,1.4705E+0,1.3463E+0,
200194,1.5808E+0,1.2804E+0,1.1830E+0,1.1711E+0,
200231,1.0751E+0,1.1110E+0,1.1487E+0,1.1401E+0,
200263,1.0757E+0,1.1108E+0,1.1487E+0,1.1401E+0,
200267,2.1850E+0,2.1452E+0,2.1113E+0,2.0597E+0,
200268,2.1458E+0,2.0426E+0,1.9724E+0,1.9727E+0,
200275,1.9378E+0,1.6671E+0,1.5070E+0,1.6349E+0,
200333,2.6921E+0,2.6172E+0,2.5231E+0,2.5278E+0,
200353,1.2860E+0,1.1120E+0,1.1496E+0,1.1410E+0,
200420,2.0267E+0,1.8591E+0,1.6986E+0,1.8043E+0,
200430,1.1406E+0,1.1109E+0,1.1492E+0,1.1401E+0,
200530,1.9386E+0,1.5413E+0,1.2231E+0,1.3517E+0,
200732,1.8226E+0,1.5630E+0,1.1539E+0,1.1617E+0,
200756,2.0833E+0,1.9426E+0,1.8237E+0,1.9104E+0,
200899,1.8741E+0,1.5755E+0,1.2175E+0,1.3409E+0,
200978,1.2092E+0,1.1116E+0,1.1489E+0,1.1403E+0,
200999,1.0752E+0,1.1107E+0,1.1488E+0,1.1401E+0,
201186,2.1216E+0,2.0413E+0,2.0306E+0,2.0282E+0,
201238,2.3294E+0,2.1759E+0,2.1027E+0,2.1100E+0,
201271,2.1938E+0,2.0763E+0,2.0373E+0,2.0784E+0,
201285,1.0752E+0,1.1107E+0,1.1488E+0,1.1399E+0,
201358,1.0751E+0,1.1110E+0,1.1488E+0,1.1401E+0,
201405,1.0752E+0,1.1109E+0,1.1489E+0,1.1401E+0,
201459,1.0751E+0,1.1108E+0,1.1488E+0,1.1402E+0,
201472,1.0751E+0,1.1110E+0,1.1488E+0,1.1400E+0,
201491,1.0750E+0,1.1107E+0,1.1487E+0,1.1401E+0,
201502,1.0749E+0,1.1108E+0,1.1487E+0,1.1400E+0,
201541,1.0748E+0,1.1109E+0,1.1488E+0,1.1401E+0,
201599,1.0989E+0,1.1113E+0,1.1489E+0,1.1401E+0,
201640,1.5475E+0,1.3418E+0,1.1499E+0,1.1405E+0,
201651,1.0755E+0,1.1109E+0,1.1489E+0,1.1399E+0,
201664,2.0013E+0,1.8773E+0,1.8129E+0,1.8460E+0,
201675,1.9595E+0,1.8300E+0,1.6954E+0,1.7223E+0,
201732,2.3803E+0,2.2996E+0,2.3050E+0,2.3132E+0,
201999,1.0751E+0,1.1107E+0,1.1489E+0,1.1399E+0,
202007,2.0862E+0,2.0045E+0,1.9513E+0,1.9570E+0,
202047,1.0758E+0,1.1109E+0,1.1489E+0,1.1402E+0,
202050,1.0756E+0,1.1108E+0,1.1488E+0,1.1400E+0,
202098,1.0753E+0,1.1109E+0,1.1490E+0,1.1399E+0,
202113,1.0750E+0,1.1107E+0,1.1488E+0,1.1401E+0,
202132,2.1091E+0,2.0699E+0,1.9765E+0,1.9182E+0,
202161,1.9487E+0,1.5883E+0,1.2208E+0,1.3056E+0,
202224,1.0751E+0,1.1108E+0,1.1488E+0,1.1400E+0,
