TimeStamp,Channel1,Channel2,Channel3,Channel4
218788349.000,43684.000,4247.000,45461.000,15264.000
218788349.000,45630.000,15165.000,35135.000,34879.000
218788349.000,50555.000,30835.000,12646.000,45424.000
218788349.000,52082.000,56686.000,31049.000,53064.000
218788350.000,6734.000,22589.000,44607.000,35391.000
218788350.000,8375.000,54444.000,46751.000,10155.000
218788350.000,10952.000,26312.000,4547.000,26305.000
218788350.000,11921.000,3338.000,38651.000,38134.000
218788350.000,22872.000,56125.000,43071.000,34623.000
218788350.000,23203.000,19628.000,42664.000,54178.000
218788350.000,30849.000,51841.000,38775.000,10098.000
218788350.000,39078.000,20386.000,18325.000,46233.000
218788350.000,44415.000,18047.000,1140.000,2160.000
218788350.000,56190.000,61815.000,8805.000,21359.000
218788351.000,5217.000,43361.000,57920.000,51519.000
218788351.000,5797.000,32663.000,40079.000,58267.000
218788351.000,8368.000,36018.000,33691.000,44442.000
218788351.000,11848.000,2113.000,4415.000,34111.000
218788351.000,24768.000,18624.000,33987.000,14273.000
218788351.000,30853.000,48515.000,7304.000,6791.000
218788351.000,37448.000,6975.000,25151.000,34879.000
218788351.000,43909.000,1158.000,16766.000,55418.000
218788351.000,55936.000,30845.000,59246.000,54894.000
218788351.000,63925.000,24491.000,1710.000,6840.000
218788352.000,4040.000,28871.000,59587.000,24257.000
218788352.000,4722.000,109.000,15973.000,46950.000
218788352.000,6531.000,14466.000,34426.000,39031.000
218788352.000,7995.000,43069.000,35391.000,34367.000
218788352.000,9606.000,18817.000,62579.000,35190.000
218788352.000,11413.000,61591.000,44189.000,29595.000
218788352.000,28481.000,65085.000,35647.000,34111.000
218788352.000,32349.000,25667.000,30783.000,38980.000
218788352.000,45986.000,28845.000,7086.000,20131.000
218788352.000,48263.000,8070.000,26506.000,39304.000
218788352.000,48519.000,47995.000,33410.000,22918.000
218788352.000,49979.000,34109.000,33599.000,34623.000
218788352.000,52853.000,43126.000,23660.000,14693.000
218788352.000,53362.000,42093.000,49775.000,29808.000
218788352.000,54440.000,20405.000,2220.000,22434.000
218788353.000,6304.000,12189.000,52874.000,60556.000
218788353.000,16271.000,14739.000,23175.000,41600.000
218788353.000,17331.000,13499.000,24504.000,8883.000
218788353.000,29879.000,42165.000,20154.000,60609.000
218788353.000,49531.000,21878.000,45408.000,26982.000
218788353.000,56665.000,11088.000,3391.000,35391.000
218788354.000,2447.000,3460.000,9846.000,62589.000
218788354.000,4466.000,7782.000,8264.000,45913.000
218788354.000,5760.000,57720.000,34936.000,40061.000
218788354.000,7043.000,48507.000,21354.000,30578.000
218788354.000,9349.000,41854.000,20609.000,12932.000
218788354.000,11133.000,34682.000,14952.000,48489.000
218788354.000,12663.000,51829.000,374.000,32886.000
218788354.000,29820.000,40828.000,7280.000,28780.000
218788354.000,37996.000,45928.000,30808.000,51799.000
218788354.000,41380.000,50846.000,63630.000,49044.000
218788354.000,43916.000,59008.000,27509.000,27262.000
218788354.000,53341.000,9566.000,55893.000,10824.000
218788354.000,62779.000,34109.000,34879.000,34623.000
218788355.000,5474.000,17755.000,37444.000,24388.000
218788355.000,8094.000,50073.000,25234.000,15255.000
218788355.000,23661.000,22352.000,15423.000,36427.000
218788355.000,29546.000,9535.000,64831.000,34623.000
218788355.000,37038.000,8358.000,6295.000,8864.000
218788355.000,38459.000,34877.000,33855.000,34623.000
218788355.000,42374.000,44162.000,1669.000,14470.000
218788355.000,47984.000,46182.000,54594.000,52815.000
218788355.000,55692.000,6796.000,35456.000,51326.000
218788355.000,61861.000,27053.000,2212.000,36766.000
218788355.000,62779.000,34365.000,33343.000,33855.000
218788355.000,64631.000,56172.000,41815.000,60520.000
218788356.000,3472.000,33167.000,32651.000,55947.000
218788356.000,7775.000,44093.000,54079.000,36171.000
218788356.000,13115.000,34109.000,34111.000,34111.000
218788356.000,14240.000,64940.000,16548.000,4250.000
218788356.000,18491.000,39229.000,33599.000,34623.000
218788356.000,20795.000,34877.000,33087.000,34623.000
218788356.000,39792.000,36456.000,59200.000,36931.000
218788356.000,49039.000,62601.000,62851.000,55431.000
218788356.000,48955.000,51777.000,19010.000,27714.000
