TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
218788333,True,2.884997,2.426172,3.517017,4.416226
218788333,True,3.021378,1.206239,2.227793,2.245958
218788333,True,3.108354,1.593296,2.913828,2.438007
218788333,True,3.372034,3.264278,2.7524,1.362576
218788333,True,3.692964,0.857029,0.16886,2.176873
218788333,True,4.108439,2.399886,2.311947,2.382409
218788334,True,0.963615,1.825736,2.776346,3.200078
218788334,True,1.184289,2.34704,2.311947,2.329563
218788334,True,1.950488,3.536765,2.867106,2.17997
218788334,True,2.318966,0.998158,2.511909,3.515641
218788334,True,2.56276,4.218466,0.941734,2.016271
218788334,True,2.585605,1.176307,3.712644,1.334432
218788334,True,2.738638,1.998036,0.393937,0.095439
218788334,True,3.287398,0.926389,3.109593,3.691312
218788335,True,0.287144,0.567889,2.329563,2.400024
218788335,True,0.431852,1.805643,0.995474,2.140473
218788335,True,0.542223,1.546298,0.436187,1.581047
218788335,True,0.607248,2.139647,3.319738,0.65975
218788335,True,1.011989,3.600896,2.843573,3.160925
218788335,True,1.152155,4.163831,4.128669,0.711427
175238999,True,0.754158,0.003234,0.0,0.0
175238999,True,1.048458,1.083689,1.119195,1.110318
218788335,True,3.198839,3.639017,0.891227,4.079814
218788335,True,3.333363,2.399886,2.329563,2.364793
218788335,True,3.601584,3.353937,3.352079,3.88226
218788336,True,0.89453,2.127605,0.365381,0.753125
218788336,True,1.594878,2.40546,2.194144,4.413336
218788336,True,2.525946,1.873696,4.110709,0.023739
218788336,True,3.038237,4.341705,0.836179,0.941802
218788336,True,3.569244,2.917269,3.322697,1.085753
218788336,True,3.9713,0.941183,3.811799,4.216883
218788336,True,4.128462,0.234642,4.372944,2.505716
218788336,True,4.127774,4.44492,1.9423,0.251019
218788337,True,0.344256,4.148968,2.844881,2.563104
218788337,True,0.693674,3.000254,3.827763,3.969236
218788337,True,0.89453,2.10999,0.242418,2.285662
218788337,True,2.634941,2.01861,2.246991,2.317246
218788337,True,2.875363,2.452732,2.347178,2.417639
218788337,True,3.372791,0.676746,3.248245,3.143241
218788337,True,3.86664,3.760191,1.205414,4.218328
218788337,True,3.9499,2.34704,2.311947,2.329563
218788338,True,1.591782,2.170887,2.629024,2.400024
218788338,True,1.607195,3.051655,1.360718,4.214337
218788338,True,1.92434,3.06927,2.347178,2.347178
218788338,True,2.032235,1.448657,3.456946,2.400093
218788338,True,2.28401,4.344182,2.969358,3.903867
218788338,True,2.650011,3.565459,4.321956,0.975451
218788338,True,3.350978,2.399886,2.329563,2.329563
218788338,True,3.496855,4.447741,3.936964,0.889644
218788338,True,3.871526,2.638451,1.352185,2.902199
218788338,True,3.883499,3.565734,3.865746,0.518965
218788338,True,4.396615,0.256868,1.701602,4.044514
218788338,True,4.465425,0.624726,0.695394,3.972126
218788339,True,0.080164,0.555916,1.083895,3.320771
218788339,True,0.326641,3.356827,3.867328,3.549839
218788339,True,0.592661,2.812609,4.328355,0.751405
218788339,True,0.700761,1.370076,4.153028,0.805972
175239999,True,1.03676,0.002477,0.0,0.0
175239999,True,1.048596,1.083689,1.118988,1.110249
218788339,True,1.473566,2.653589,4.274477,3.640599
218788339,True,2.002027,2.952912,3.058054,2.653314
218788339,True,2.280363,2.579343,0.254184,2.509225
218788339,True,2.646364,2.34704,2.364793,2.347178
218788339,True,2.734441,2.34704,2.347178,2.347178
218788339,True,3.180949,0.855033,0.078994,3.021241
218788339,True,3.351116,0.814504,2.470485,2.488101
218788339,True,3.773747,2.382271,2.382409,2.435255
218788340,True,0.771222,2.303759,0.229688,3.443459
218788340,True,1.453542,0.5019,3.530779,1.822364
218788340,True,2.03368,0.201338,3.77471,1.57279
218788340,True,3.0178,1.273123,2.171024,2.382409
218788340,True,3.055783,3.213496,0.922811,4.09447
218788340,True,3.069132,2.998877,2.118247,1.942025
218788340,True,3.32545,1.669606,0.136725,1.563432
218788341,True,0.167621,1.223992,3.865127,3.02014
218788341,True,0.607386,1.294247,2.756597,3.373066
218788341,True,0.641928,3.318706,0.233335,4.020844
218788341,True,0.907742,2.968945,2.65118,2.298392
